2026-07-31 20:16:09 | INFO     | src/logging_config.py:188 | 日志系统初始化完成，日志目录: logs
2026-07-31 20:16:09 | INFO     | src/logging_config.py:189 | 常规日志: logs/stock_analysis_20260731.log
2026-07-31 20:16:09 | INFO     | src/logging_config.py:190 | 调试日志: logs/stock_analysis_debug_20260731.log
2026-07-31 20:16:09 | INFO     | main.py:791 | ============================================================
2026-07-31 20:16:09 | INFO     | main.py:792 | A股自选股智能分析系统 启动
2026-07-31 20:16:09 | INFO     | main.py:793 | 运行时间: 2026-07-31 20:16:09
2026-07-31 20:16:09 | INFO     | main.py:794 | ============================================================
2026-07-31 20:16:09 | WARNING  | main.py:799 | 未配置 Tushare Token，将使用其他数据源
2026-07-31 20:16:14 | INFO     | main.py:476 | 今日所有相关市场均为非交易日，跳过执行。可使用 --force-run 强制执行。
2026-07-31 20:16:14 | INFO     | main.py:973 | 
程序执行完成
